	1405 s
A	erg/s/cm2/A
2432.4	8.06315E-13
2434.2	7.3719E-13
2436	8.72876E-13
2438	8.05848E-13
2439.8	8.24954E-13
2441.6	7.59136E-13
2443.6	6.74743E-13
2445.4	7.89714E-13
2447.2	8.54945E-13
2449.2	8.52955E-13
2451	7.69661E-13
2452.8	7.30836E-13
2454.8	7.15083E-13
2456.6	7.73351E-13
2458.4	7.95913E-13
2460.4	8.08282E-13
2462.2	8.38451E-13
2464	8.3107E-13
2466	8.63638E-13
2467.8	9.20443E-13
2469.8	8.55627E-13
2471.6	8.80551E-13
2473.4	7.80431E-13
2475.4	8.54549E-13
2477.2	9.12253E-13
2479	9.79772E-13
2481	1.10273E-12
2482.8	9.40947E-13
2484.6	8.12659E-13
2486.6	8.73576E-13
2488.4	8.7189E-13
2490.2	8.56485E-13
2492.2	1.03614E-12
2494	8.83812E-13
2495.8	7.33104E-13
2497.8	7.9424E-13
2499.6	7.15573E-13
2501.4	7.32258E-13
2503.4	7.0856E-13
2505.2	9.03889E-13
2507.2	1.01659E-12
2509	9.31742E-13
2510.8	7.76646E-13
2512.8	8.27452E-13
2514.6	9.18352E-13
2516.4	9.59498E-13
2518.4	8.48754E-13
2520.2	9.0514E-13
2522	1.0085E-12
2524	1.11553E-12
2525.8	1.24331E-12
2527.6	1.1857E-12
2529.6	1.29031E-12
2531.4	1.30045E-12
2533.2	1.14476E-12
2535.2	1.04711E-12
2537	1.25036E-12
2538.8	1.32868E-12
2540.8	1.23969E-12
2542.6	1.08246E-12
2544.4	1.04927E-12
2546.4	1.06003E-12
2548.2	1.12234E-12
2550.2	1.13318E-12
2552	1.024E-12
2553.8	7.96888E-13
2555.8	7.39414E-13
2557.6	7.68997E-13
2559.4	7.93581E-13
2561.4	8.33272E-13
2563.2	7.72537E-13
2565	8.50693E-13
2567	8.29357E-13
2568.8	7.75553E-13
2570.6	8.5164E-13
2572.6	9.74368E-13
2574.4	9.12271E-13
2576.2	8.17915E-13
2578.2	7.71824E-13
2580	7.21823E-13
2581.8	8.05917E-13
2583.8	1.00475E-12
2585.6	1.09159E-12
2587.4	9.66369E-13
2589.4	8.61565E-13
2591.2	8.52664E-13
2593.2	8.9675E-13
2595	9.7911E-13
2596.8	1.06656E-12
2598.8	1.14279E-12
2600.6	1.16107E-12
2602.4	1.01873E-12
2604.4	1.04685E-12
2606.2	1.20117E-12
2608	1.24675E-12
2610	1.34339E-12
2611.8	1.34903E-12
2613.6	1.17366E-12
2615.6	1.40834E-12
2617.4	1.17674E-12
2619.2	1.15829E-12
2621.2	1.18045E-12
2623	1.23391E-12
2624.8	1.2445E-12
2626.8	1.31358E-12
2628.6	1.37659E-12
2630.4	1.39129E-12
2632.4	1.32027E-12
2634.2	9.5791E-13
