	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           103.7099990845             0.0847748481
           103.7200012207             0.0838914711
           103.7300033569             0.0829451077
           103.7399978638             0.0821253867
           103.7500000000             0.0812420156
           103.7600021362             0.0802976778
           103.7699966431             0.0794759311
           103.7799987793             0.0785925542
           103.7900009155             0.0777091773
           103.8000030518             0.0767675345
           103.8099975586             0.0759430986
           103.8199996948             0.0750597159
           103.8300018311             0.0741763448
           103.8399963379             0.0732373912
           103.8499984741             0.0724102603
           103.8600006104             0.0715268892
           103.8700027466             0.0705899554
           103.8799972534             0.0697608048
           103.8899993896             0.0688774220
           103.9000015259             0.0679425197
           103.9100036621             0.0671113492
           103.9199981689             0.0662279665
           103.9300003052             0.0653445895
           103.9400024414             0.0644123822
           103.9499969482             0.0635785109
           103.9599990845             0.0626951340
           103.9700012207             0.0618117570
           103.9800033569             0.0608822389
           103.9899978638             0.0600456784
           104.0000000000             0.0591622957
           104.0100021362             0.0582348031
           104.0199966431             0.0573962170
           104.0299987793             0.0565128401
           104.0400009155             0.0556294632
           104.0500030518             0.0547046599
           104.0599975586             0.0538633787
           104.0699996948             0.0529800018
           104.0800018311             0.0520966249
           104.0899963379             0.0511745224
           104.0999984741             0.0503305462
           104.1100006104             0.0494471693
           104.1200027466             0.0485270866
           104.1299972534             0.0476810877
           104.1399993896             0.0467977108
           104.1500015259             0.0458796480
           104.1600036621             0.0450316293
           104.1699981689             0.0441482523
           104.1800003052             0.0432648754
           104.1900024414             0.0423495047
           104.1999969482             0.0414987968
           104.2099990845             0.0406154199
           104.2200012207             0.0397320400
           104.2300033569             0.0388193672
           104.2399978638             0.0379659585
           104.2500000000             0.0370825815
           104.2600021362             0.0361719285
           104.2699966431             0.0353165000
           104.2799987793             0.0344331231
           104.2900009155             0.0335497461
           104.3000030518             0.0326417881
           104.3099975586             0.0317836675
           104.3199996948             0.0309002877
           104.3300018311             0.0300169108
           104.3399963379             0.0291116507
           104.3499984741             0.0282508321
           104.3600006104             0.0273674552
           104.3700027466             0.0264642120
           104.3799972534             0.0256013736
           104.3899993896             0.0247179967
           104.4000015259             0.0238167748
           104.4100036621             0.0229519152
           104.4199981689             0.0220685382
           104.4300003052             0.0211851599
           104.4400024414             0.0202866344
           104.4499969482             0.0194190783
           104.4599990845             0.0185357028
           104.4700012207             0.0176523259
           104.4800033569             0.0167564926
           104.4899978638             0.0158862444
           104.5000000000             0.0151105764
           104.5100021362             0.0149687679
           104.5199966431             0.0149571933
           104.5299987793             0.0149341824
           104.5400009155             0.0149111729
           104.5500030518             0.0148768158
           104.5599975586             0.0148651714
           104.5699996948             0.0148421619
           104.5800018311             0.0148191524
           104.5899963379             0.0147848652
           104.5999984741             0.0147731495
           104.6100006104             0.0147501400
           104.6200027466             0.0147159051
           104.6299972534             0.0147041384
           104.6399993896             0.0146811275
           104.6500015259             0.0146469451
           104.6600036621             0.0146351260
           104.6699981689             0.0146121165
           104.6800003052             0.0145891070
           104.6900024414             0.0145549944
           104.6999969482             0.0145431040
           104.7099990845             0.0145200946
           104.7200012207             0.0144970836
           104.7300033569             0.0144630423
           104.7399978638             0.0144510821
           104.7500000000             0.0144280726
           104.7600021362             0.0143940837
           104.7699966431             0.0143820696
           104.7799987793             0.0143590602
           104.7900009155             0.0143360507
           104.8000030518             0.0143021316
           104.8099975586             0.0142900491
           104.8199996948             0.0142670382
           104.8300018311             0.0142440287
           104.8399963379             0.0142101810
           104.8499984741             0.0141980272
           104.8600006104             0.0141750177
           104.8700027466             0.0141412209
           104.8799972534             0.0141290147
           104.8899993896             0.0141060053
           104.9000015259             0.0140722623
           104.9100036621             0.0140600037
           104.9199981689             0.0140369943
           104.9300003052             0.0140139833
           104.9400024414             0.0139803102
           104.9499969482             0.0139679803
           104.9599990845             0.0139449709
           104.9700012207             0.0139219614
           104.9800033569             0.0138883595
           104.9899978638             0.0138759598
           105.0000000000             0.0138529504
           105.0100021362             0.0138193995
           105.0199966431             0.0138069474
           105.0299987793             0.0137839379
           105.0400009155             0.0137609284
           105.0500030518             0.0137274474
           105.0599975586             0.0137149254
           105.0699996948             0.0136919160
           105.0800018311             0.0136689065
           105.0899963379             0.0136354967
           105.0999984741             0.0136229050
           105.1100006104             0.0135998940
           105.1200027466             0.0135665367
           105.1299972534             0.0135538925
           105.1399993896             0.0135308816
           105.1500015259             0.0134975780
           105.1600036621             0.0134848800
           105.1699981689             0.0134618705
           105.1800003052             0.0134388611
           105.1900024414             0.0134056259
           105.1999969482             0.0133928581
           105.2099990845             0.0133698486
           105.2200012207             0.0133468391
           105.2300033569             0.0133136738
           105.2399978638             0.0133008361
           105.2500000000             0.0132778267
           105.2600021362             0.0132447152
           105.2699966431             0.0132318251
           105.2799987793             0.0132088157
           105.2900009155             0.0131858062
           105.3000030518             0.0131527646
           105.3099975586             0.0131398032
           105.3199996948             0.0131167923
           105.3300018311             0.0130937828
           105.3399963379             0.0130608125
           105.3499984741             0.0130477812
           105.3600006104             0.0130247718
           105.3700027466             0.0129918524
           105.3799972534             0.0129787688
           105.3899993896             0.0129557593
           105.4000015259             0.0129228938
           105.4100036621             0.0129097578
           105.4199981689             0.0128867483
           105.4300003052             0.0128637374
           105.4400024414             0.0128309417
           105.4499969482             0.0128177358
           105.4599990845             0.0127947264
           105.4700012207             0.0127717169
           105.4800033569             0.0127389911
           105.4899978638             0.0127257139
           105.5000000000             0.0127048203
           105.5100021362             0.0126869258
           105.5199966431             0.0126905099
           105.5299987793             0.0126844068
           105.5400009155             0.0126783052
           105.5500030518             0.0126625382
           105.5599975586             0.0126661034
           105.5699996948             0.0126600018
           105.5800018311             0.0126538987
           105.5899963379             0.0126381507
           105.5999984741             0.0126416984
           105.6100006104             0.0126355953
           105.6200027466             0.0126198618
           105.6299972534             0.0126233950
           105.6399993896             0.0126172919
           105.6500015259             0.0126015730
           105.6600036621             0.0126050916
           105.6699981689             0.0125989900
           105.6800003052             0.0125928869
           105.6900024414             0.0125771854
           105.6999969482             0.0125806866
           105.7099990845             0.0125745835
           105.7200012207             0.0125684819
           105.7300033569             0.0125527993
           105.7399978638             0.0125562801
           105.7500000000             0.0125501785
           105.7600021362             0.0125345090
           105.7699966431             0.0125379782
           105.7799987793             0.0125318751
           105.7900009155             0.0125257720
           105.8000030518             0.0125101215
           105.8099975586             0.0125135717
           105.8199996948             0.0125074686
           105.8300018311             0.0125013670
           105.8399963379             0.0124857354
           105.8499984741             0.0124891667
           105.8600006104             0.0124830636
           105.8700027466             0.0124674465
           105.8799972534             0.0124708633
           105.8899993896             0.0124647602
           105.9000015259             0.0124491562
           105.9100036621             0.0124525599
           105.9199981689             0.0124464568
           105.9300003052             0.0124403552
           105.9400024414             0.0124247701
           105.9499969482             0.0124281549
           105.9599990845             0.0124220503
           105.9700012207             0.0124159487
           105.9800033569             0.0124003825
           105.9899978638             0.0124037484
           106.0000000000             0.0123976468
           106.0100021362             0.0123820937
           106.0199966431             0.0123854450
           106.0299987793             0.0123793419
           106.0400009155             0.0123732403
           106.0500030518             0.0123577061
           106.0599975586             0.0123610385
           106.0699996948             0.0123549369
           106.0800018311             0.0123488338
           106.0899963379             0.0123333186
           106.0999984741             0.0123366335
           106.1100006104             0.0123305304
           106.1200027466             0.0123150297
           106.1299972534             0.0123183301
           106.1399993896             0.0123122270
           106.1500015259             0.0122967409
           106.1600036621             0.0123000267
           106.1699981689             0.0122939251
           106.1800003052             0.0122878220
           106.1900024414             0.0122723533
           106.1999969482             0.0122756217
           106.2099990845             0.0122695186
           106.2200012207             0.0122634170
           106.2300033569             0.0122479658
           106.2399978638             0.0122512152
           106.2500000000             0.0122451136
           106.2600021362             0.0122296769
           106.2699966431             0.0122329133
           106.2799987793             0.0122268102
           106.2900009155             0.0122207071
           106.3000030518             0.0122052894
           106.3099975586             0.0122085068
           106.3199996948             0.0122024037
           106.3300018311             0.0121963014
           106.3399963379             0.0121809033
           106.3499984741             0.0121841011
           106.3600006104             0.0121779987
           106.3700027466             0.0121626137
           106.3799972534             0.0121657977
           106.3899993896             0.0121596953
           106.4000015259             0.0121443241
           106.4100036621             0.0121474943
           106.4199981689             0.0121413919
           106.4300003052             0.0121352896
           106.4400024414             0.0121199373
           106.4499969482             0.0121230893
           106.4599990845             0.0121169862
           106.4700012207             0.0121108838
           106.4800033569             0.0120955498
           106.4899978638             0.0120986835
           106.5000000000             0.0120942721
           106.5100021362             0.0120907564
           106.5199966431             0.0121073870
           106.5299987793             0.0121147896
           106.5400009155             0.0121221936
           106.5500030518             0.0121203411
           106.5599975586             0.0121369936
           106.5699996948             0.0121443969
           106.5800018311             0.0121518002
           106.5899963379             0.0121499252
           106.5999984741             0.0121666009
           106.6100006104             0.0121740035
           106.6200027466             0.0121721117
           106.6299972534             0.0121888042
           106.6399993896             0.0121962075
           106.6500015259             0.0122036108
           106.6600036621             0.0122016965
           106.6699981689             0.0122184108
           106.6800003052             0.0122258149
           106.6900024414             0.0122238838
           106.6999969482             0.0122406142
           106.7099990845             0.0122480182
           106.7200012207             0.0122554207
           106.7300033569             0.0122534679
           106.7399978638             0.0122702229
           106.7500000000             0.0122776255
           106.7600021362             0.0122756552
           106.7699966431             0.0122924263
           106.7799987793             0.0122998288
           106.7900009155             0.0123072328
           106.8000030518             0.0123052392
           106.8099975586             0.0123220321
           106.8199996948             0.0123294361
           106.8300018311             0.0123368387
           106.8399963379             0.0123348247
           106.8499984741             0.0123516395
           106.8600006104             0.0123590435
           106.8700027466             0.0123570106
           106.8799972534             0.0123738442
           106.8899993896             0.0123812468
