# Formed from prebioticearth_atmosphere_models.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.1042335e+06	1.7973033e+02	7.5106591e+18	1.8637409e-01
1.1093709e+06	1.7922662e+02	7.4568251e+18	1.8451963e-01
1.1144939e+06	1.7872431e+02	7.4033771e+18	1.8268362e-01
1.1196025e+06	1.7822341e+02	7.3503121e+18	1.8086588e-01
1.1246968e+06	1.7772392e+02	7.2976276e+18	1.7906623e-01
1.1297768e+06	1.7722582e+02	7.2453207e+18	1.7728448e-01
1.1348426e+06	1.7672912e+02	7.1933887e+18	1.7552047e-01
1.1398942e+06	1.7623382e+02	7.1418290e+18	1.7377400e-01
1.1449316e+06	1.7573990e+02	7.0906388e+18	1.7204492e-01
1.1499549e+06	1.7524737e+02	7.0398156e+18	1.7033304e-01
1.1549642e+06	1.7475621e+02	6.9893567e+18	1.6863819e-01
1.1599594e+06	1.7426643e+02	6.9392594e+18	1.6696021e-01
1.1649406e+06	1.7377803e+02	6.8895213e+18	1.6529893e-01
1.1699078e+06	1.7329099e+02	6.8401397e+18	1.6365417e-01
1.1748611e+06	1.7280532e+02	6.7911120e+18	1.6202578e-01
1.1798006e+06	1.7232101e+02	6.7424357e+18	1.6041360e-01
1.1847261e+06	1.7183806e+02	6.6941084e+18	1.5881745e-01
1.1896379e+06	1.7135646e+02	6.6461275e+18	1.5723719e-01
1.1945359e+06	1.7087622e+02	6.5984904e+18	1.5567265e-01
1.1994202e+06	1.7039731e+02	6.5511949e+18	1.5412368e-01
1.2042908e+06	1.6991975e+02	6.5042383e+18	1.5259012e-01
1.2091478e+06	1.6944353e+02	6.4576183e+18	1.5107182e-01
1.2139911e+06	1.6896864e+02	6.4113325e+18	1.4956863e-01
1.2188209e+06	1.6849509e+02	6.3653784e+18	1.4808040e-01
1.2236371e+06	1.6802286e+02	6.3197537e+18	1.4660697e-01
1.2284399e+06	1.6755195e+02	6.2744560e+18	1.4514821e-01
1.2332291e+06	1.6708236e+02	6.2294830e+18	1.4370396e-01
1.2380050e+06	1.6661409e+02	6.1848324e+18	1.4227408e-01
1.2427674e+06	1.6614714e+02	6.1405018e+18	1.4085843e-01
1.2475166e+06	1.6568149e+02	6.0964890e+18	1.3945686e-01
1.2522524e+06	1.6521714e+02	6.0527916e+18	1.3806924e-01
1.2569749e+06	1.6475410e+02	6.0094075e+18	1.3669543e-01
1.2616842e+06	1.6429236e+02	5.9663343e+18	1.3533529e-01
1.2663803e+06	1.6383191e+02	5.9235698e+18	1.3398868e-01
1.2710632e+06	1.6337274e+02	5.8811119e+18	1.3265547e-01
1.2757330e+06	1.6291487e+02	5.8389582e+18	1.3133552e-01
1.2803898e+06	1.6245828e+02	5.7971068e+18	1.3002871e-01
1.2850334e+06	1.6200297e+02	5.7555553e+18	1.2873491e-01
