Gary Hansen's new data on complex index of refraction
for CO2 ice. Supercedes Warren 1986

lambda-micron        nr               ni
2.4400000e-001  1.4814365e+000  4.2371566e-010
2.4500000e-001  1.4806773e+000  4.1100531e-010
2.4600000e-001  1.4799181e+000  4.0917876e-010
2.4800000e-001  1.4783997e+000  4.0165105e-010
2.5000000e-001  1.4768813e+000  3.9022803e-010
2.5200000e-001  1.4753853e+000  3.9188594e-010
2.5400000e-001  1.4740862e+000  3.9372275e-010
2.6000000e-001  1.4701889e+000  3.9549208e-010
2.6200000e-001  1.4689058e+000  3.9569882e-010
2.6400000e-001  1.4678561e+000  3.9714379e-010
2.7000000e-001  1.4647071e+000  4.1452780e-010
2.7200000e-001  1.4636574e+000  4.1774989e-010
2.7400000e-001  1.4626078e+000  4.1933890e-010
2.8000000e-001  1.4594587e+000  4.3063826e-010
2.8250000e-001  1.4582050e+000  4.3488790e-010
2.9000000e-001  1.4551785e+000  4.3371791e-010
3.0000000e-001  1.4511432e+000  4.5753067e-010
3.1000000e-001  1.4476040e+000  4.7211563e-010
3.4482700e-001  1.4383330e+000  5.2274078e-010
3.8356700e-001  1.4310334e+000  5.7881319e-010
4.2665900e-001  1.4252474e+000  6.4088634e-010
4.7459300e-001  1.4207342e+000  7.0964026e-010
5.2791100e-001  1.4171648e+000  7.8575172e-010
5.8722000e-001  1.4143467e+000  8.7005624e-010
6.5319200e-001  1.4120163e+000  9.6338560e-010
7.2657500e-001  1.4101828e+000  1.0667028e-009
8.0820300e-001  1.4086504e+000  1.1811404e-009
8.9900100e-001  1.4073872e+000  1.3078269e-009
1.0000000e+000  1.4063285e+000  1.4480712e-009
1.0100000e+000  1.4062385e+000  1.4619090e-009
1.0200000e+000  1.4061485e+000  1.4753281e-009
1.0300000e+000  1.4060615e+000  1.4995459e-009
1.0350000e+000  1.4060191e+000  1.5143203e-009
1.0360000e+000  1.4060107e+000  1.5173498e-009
1.0370000e+000  1.4060022e+000  1.5204649e-009
1.0375000e+000  1.4059980e+000  1.5221062e-009
1.0377000e+000  1.4059963e+000  1.5227299e-009
1.0379000e+000  1.4059946e+000  1.5233537e-009
1.0380000e+000  1.4059937e+000  1.5236657e-009
1.0381000e+000  1.4059929e+000  1.5239777e-009
